plot#,lat,long,elv,soilC,A_thick,AB_thick,AAB_tck,B_thick,soil_depth,tree_h_M,Diam_C,soil_C,abv_C,BAR,comm,dominant,主要优势树,坡度,坡向,坡位,样地描述
XXALYF080809047,48.43852,128.878982,483,10,15,0,15,8,23,6.565168571,7.806741583,10,0.640159338,0.06,兴安落叶松林,兴安落叶松,兴安落叶松,5.00628233,177.2736816,,
XXALYF080809048,48.445795,128.284,461,12,17,0,17,39,56,5.566666683,6.528888941,12,0.511776355,0.04,水湿地杨桦林,白桦,白桦,6.92624903,300.9637451,,
XXALYF080809050,48.412313,128.30948,542,12,23,0,23,14,37,10.17121212,10.42613636,12,4.777647311,0.41,白桦林,白桦,白桦,0,0,上,
XXALYF080811052,47.606125,129.197723,238,9,13,0,13,23,36,9.249397579,9.90783133,9,5.03440865,0.59,白桦林,白桦,白桦,1.72100616,33.69006729,,
XXALYF080811055,47.657572,129.149392,265,8,11,9,20,44,64,13.53283581,16.95820894,8,6.084381382,0.76,兴安落叶松人工林,兴安落叶松,兴安落叶松,12.29941654,116.0753555,下,
XXALYF080812056,48.121712,129.187865,346,4,8,17,25,12,37,11.34303796,17.03797466,4,6.419356575,1.74,云冷杉红松林,红松,红松  冷杉,8.40658379,220.426071,,
XXALYF080812057,48.109307,129.190651,317,4,9,0,9,27,36,13.2343283,19.66119408,4,7.615034222,1.89,红松林原始林,红松,红松 冷杉,23,南,,
XXALYF080812058,48.129442,129.187332,470,6,9,12,21,15,36,12.27215187,16.62151904,6,7.909808427,1.24,红松林,红松,红松,50,120,中上,
XXALYF080814061,48.283943,129.016425,394,12,11,15,26,30,56,11.92077927,11.87532477,12,2.452243333,0.2,白桦次生林,白桦,白桦,18.05390358,265.601288,,采伐迹地 天然更新
XXALYF080814062,48.305117,128.978782,473,11,16,0,16,21,37,7.626436787,14.87241398,11,4.989293659,0.45,针阔林,红松,红松,20,7,中,
XXALYF080814063,48.233966,128.957578,499,7,9,0,9,5,14,5.857788477,6.121153816,7,1.929593982,0.26,白桦林,白桦,白桦,15,28,中下,
XXALYF080815064,48.039525,128.914868,261,8,18,16,34,23,57,10.11538462,14.67307692,8,2.80848399,0.37,针阔混,白桦,白桦、兴安落叶松,8.1590147,234.4623261,,
XXALYF080815066,47.996842,128.964493,279,16,21,0,21,9,30,19.25000005,20.60500028,16,1.687470917,0.11,兴安落叶松天然林,兴安落叶松,兴安落叶松,2.16078901,186.340195,,
XXALYF080815067,47.998573,128.956006,268,5,16,0,16,0,16,6.987912119,7.489673921,5,1.553028397,0.31,兴安落叶松人工,兴安落叶松,兴安落叶松,5.1287117,248.198593,,
XXALYF080815068,47.940073,128.74054,274,8,24,0,24,18,42,7.889855105,11.4285715,8,2.453289939,0.3,阔混林,白桦,桦,8.98487663,108.434952,,
XXALYF080816070,48.558,129.534,410,9,15,0,15,16,31,13.81395348,20.81627913,9,6.799188596,0.75,猴腿蹄盖蕨花楷槭红松群落,红松,红松,8,南,,
XXALYF080816071,48.5585,129.534307,384,3,5,8,13,45,58,11.4040983,10.96557376,3,3.307386787,1.16,白桦林,白桦,白桦,2.43313885,101.309929,,过伐林
XXALYF080816073,48.74122,128.760347,407,5,9,0,9,31,40,6.855303049,10.77500004,5,2.230046235,0.41,兴安落叶松人工林,兴安落叶松,兴安落叶松,5.22670364,30.06858253,,
XXALYF080816074,48.740858,128.760358,396,8,14,0,14,37,51,5.631383006,6.525263169,8,2.694886781,0.32,白桦林,白桦,白桦,5.80822277,34.99201965,,
XXALYF080818079,48.583517,129.818353,374,6,11,0,11,16,27,10.58727273,18.25113635,6,11.6453546,2.04,红松林,红松,红松,13.77885723,189.78241,,
XXALYF080818080,48.58857,129.816207,514,5,9,0,9,11,20,8.952380964,14.93000009,5,1.854526783,0.37,采伐迹地,白桦,青楷槭,27,69,上,
XXALYF080819081,48.54862,129.169873,454,5,9,0,9,8,17,8.503571371,10.85357143,5,1.7428549,0.33,真阔混,白桦,白桦,9.39236069,220.914383,,
XXALYF080819084,48.536372,129.210585,477,4,12,0,12,14,26,8.577777752,12.01234576,4,4.751548241,1.11,兴安落叶松林,兴安落叶松,兴安落叶松,15,101,中下,
XXALYF080820085,49.06321,128.89067,338,5,8,0,8,11,19,9.63204821,10.41807228,5,2.419382583,0.47,白桦林,白桦,白桦,5,东北,,
XXALYF080820087,49.060002,128.590408,337,5,22,0,22,18,40,5.052941185,6.090052333,5,0.715577257,0.15,兴安落叶松林,兴安落叶松,兴安落叶松,2,北,,
XXALYF080822090,48.37852,130.11033,222,2,4,0,4,7,11,8.10444444,7.971111064,2,0.610017542,0.27,白桦林,白桦,白桦,9.42741108,17.52556801,,
XXALYF080822091,48.394258,130.143292,208,5,6,8,14,21,35,8.434343425,13.48989904,5,2.765835559,0.6,红松林,红松,红松,12,295,中,
XXALYF080822095,48.979618,129.385238,246,4,7,0,7,30,37,9.114285742,29.18571445,4,1.589219301,0.43,兴安落叶松林,兴安落叶松,兴安落叶松,2,西,,
XXALYF080822096,48.979857,129.386682,349,3,7,0,7,11,18,9.099999905,24.60000038,3,0.333177988,0.12,火烧迹地,兴安落叶松,兴安落叶松,5.1287117,291.801422,下,
XXALYF080824096,48.39351,130.709277,254,3,7,0,7,11,18,11.95111113,15.02111113,3,8.144398694,2.64,杂木林,白桦,山杨,10,180,上,
XXALYF080824102,48.863075,130.304152,126,2,4,0,4,32,36,14.40434789,19.21304349,2,3.250782174,1.91,兴安落叶松林,兴安落叶松,兴安落叶松,2.13429999,333.4349365,,
XXALYF080824103,48.842333,130.281398,158,4,9,0,9,11,20,5.010493825,7.204790421,4,3.240427049,0.75,白桦林,白桦,白桦,3.32143211,158.9624939,,
XXALYF080825099,48.990978,129.888707,117,6,14,0,14,11,25,14.36774194,17.89838722,6,3.068762273,0.52,兴安落叶松人工林,兴安落叶松,兴安落叶松,5,315,中,
XXALYF080825106,49.27085,129.399623,299,3,5,0,5,48,53,5.745595247,10.95465123,3,3.078978532,1.04,黑桦林,白桦,黑桦,5,150,,
XXALYF080825107,49.259645,129.493405,166,4,8,0,8,23,31,5.394920675,8.583650807,4,1.778773941,0.46,白桦林,白桦,白桦,2,,,
XXALYF090728001,46.615627,127.627734,256,9,19,9,28,36,64,11.48648649,20.75675676,9,2.703846471,0.29,红松人工林,红松,红松,2,321,中下,
XXALYF090729003,47.112633,127.938207,214,7,13,15,28,27,55,11.45614035,18.9122807,7,5.452351765,0.84,落叶松人工林,兴安落叶松,兴安落叶松,7.5,东北,,
XXALYF090801006,47.454529,127.698889,308,4,8,3,11,30,41,8.59375,11.6328125,4,3.228439204,0.91,白桦林,白桦,白桦,0,,,有人工更新
XXALYF090801007,47.416002,127.648824,293,4,6,7,13,28,41,19.2,19.64179104,4,5.783270037,1.63,兴安落叶松人工林,兴安落叶松,兴安落叶松,4,北,中上,有清林
XXALYF090801010,47.33913,127.575872,271,15,27,15,42,21,63,12.03194444,15.31506849,15,3.577693112,0.24,针阔混交林,兴安落叶松,兴安落叶松,0,0,0,
XXALYF090802013,47.549667,127.186317,269,6,13,11,24,42,66,8.940092166,8.796803653,6,2.344102529,0.4,兴安落叶松人工林,兴安落叶松,兴安落叶松,2,255,中,
XXALYF090803015,47.783663,127.522153,358,5,8,15,23,26,49,8.754901961,8.87254902,5,2.678803424,0.58,杨桦林,白桦,白桦、山杨,10,90,上,
XXALYF090803016,47.771333,127.461887,322,3,4,8,12,54,66,12.56521739,10.33333333,3,3.774253648,1.41,白桦林,白桦,白桦,12,175,中,原为农田
XXALYF090803018,47.75972,127.634385,359,13,26,0,26,18,44,10.49122807,13.29824561,13,2.977654185,0.23,白桦次生林,白桦,白桦,0,0,0,有择伐
XXALYF090803019,47.775867,127.66065,393,7,12,0,12,39,51,11.46715328,14.71014493,7,5.964070082,0.83,红松人工林,红松,红松,5,15,中,
XXALYF090804020,48.20455,127.207368,336,13,22,30,52,17,69,12.6097561,19.12195122,13,2.58528429,0.19,兴安落叶松人工林,兴安落叶松,兴安落叶松,5,东,,
XXALYF090804022,48.204642,127.207423,339,9,18,36,54,10,64,10.56842105,14.25773196,9,4.853199555,0.55,阔叶混交林,白桦,白桦 蒙古栎,5,东,,
XXALYF090804023,48.224542,127.230495,334,2,9,17,26,30,56,7.901960784,9.333333333,2,1.017802473,0.53,白桦林,白桦,白桦,5,342,中上,
XXALYF090805024,47.969683,126.83371,310,5,10,18,28,25,53,9.564285714,10.40178571,5,3.394010675,0.66,兴安落叶松天然次生林,兴安落叶松,兴安落叶松,8,352,上,
XXALYF090805025,47.948052,126.794575,283,12,23,20,43,25,68,12.25423729,19.06779661,12,3.249031691,0.28,兴安落叶松次生林,兴安落叶松,兴安落叶松,5,东南,,
XXALYF090805026,47.947827,126.79477,270,5,9,14,23,40,63,16.15625,23.875,5,3.598399313,0.72,兴安落叶松人工林,兴安落叶松,兴安落叶松,4,35,上,
XXALYF090807028,48.32495,126.861882,313,19,25,4,29,50,79,7.671232877,11.05479452,19,3.113486819,0.16,杂木林,白桦,黑桦,18,270,中上,有农田、沼泽地，有择伐
XXALYF090807032,48.39983,126.641307,336,20,17,23,40,0,40,8.628205128,12.07692308,20,2.669090186,0.14,兴安落叶松人工林,兴安落叶松,兴安落叶松,2.90182161,99.46231842,,
XXALYF090807033,48.383096,126.502676,322,9,16,23,39,15,54,11.58522727,12.01136364,9,1.56117308,0.17,兴安落叶松人工林,兴安落叶松,兴安落叶松,1.39176345,300.9637451,,
XXALYF090808030,49.052335,127.058918,404,4,9,10,19,55,74,12.68529412,15.60294118,4,3.564167879,0.86,兴安落叶松人工林,兴安落叶松,兴安落叶松,3,142,上,择伐、火烧迹地
XXALYF090808034,49.056781,127.092167,345,15,25,13,38,28,66,8.507936508,9.761904762,15,2.533750394,0.16,兴安落叶松白桦林,兴安落叶松,兴安落叶松、白桦,4,东北,,
XXALYF090808036,49.052437,127.059417,432,8,20,0,20,31,51,10.61744966,11.18791946,8,2.437905363,0.3,兴安落叶松人工林,兴安落叶松,兴安落叶松,1,330,上,择伐，曾为耕地
XXALYF090809039,48.663173,126.271445,416,4,6,11,17,11,28,9.225,10.325,4,3.383708048,0.78,白桦林,白桦,白桦,4,0,中下,有腐烂伐桩
XXALYF090809040,48.663675,126.312822,326,8,9,11,20,9,29,11.32673267,14.35643564,8,3.34320693,0.41,兴安落叶松人工林,兴安落叶松,兴安落叶松,0,0,,有伐桩
XXALYF090809041,48.66,126.27,370,6,15,11,26,36,62,7.712389381,9.887931034,6,3.451766566,0.62,白桦林,白桦,白桦,1.72100616,213.6900635,,路边
XXALYF090809042,48.66,126.27,370,3,14,0,14,59,73,8.326771654,9.125984252,3,2.0888484,0.67,兴安落叶松天然林,兴安落叶松,兴安落叶松,1.72100616,213.6900635,,
XXALYF090812044,50.755267,125.936612,503,8,17,0,17,28,45,8.373913043,10.85217391,8,3.669707263,0.43,兴安落叶松天然林,兴安落叶松,兴安落叶松,5,90,中下,
XXALYF090813045,50.755128,125.935872,490,5,10,24,34,35,69,7.59158163,7.602040816,5,3.438234744,0.74,黑桦天然林,白桦,黑桦,5,90,中下,有择伐
XXALYF090813046,50.75259,125.940707,493,8,15,19,34,30,64,8.458823525,9.4875,8,4.130768423,0.5,兴安落叶松白桦林,白桦,白桦、兴安落叶松,5,90,中,
XXALYF090813061,50.909677,126.055178,357,19,17,12,29,14,43,11.72222222,13.42592593,19,3.397224262,0.18,兴安落叶松人工林,兴安落叶松,兴安落叶松,3,50,中上,有间伐作业
XXALYF090813063,50.900962,126.07673,391,4,6,10,16,40,56,10.18518519,12.37037037,4,0.646462181,0.17,兴安落叶松天然林,兴安落叶松,兴安落叶松,8,27,中上,有火烧干扰、有间伐
XXALYF090814049,49.6,125.5,315,8,20,0,20,25,45,8.769696973,11.05555556,8,3.480093284,0.41,黑桦林,白桦,黑桦,25,东,中,
XXALYF090814064,50.862897,126.018148,382,6,15,38,53,17,70,8.9,11.15,6,0.560890969,0.09,兴安落叶松白桦林,兴安落叶松,兴安落叶松,4,18,中,有火烧干扰，有伐桩、较湿
XXALYF090814065,49.988767,125.64008,394,5,7,8,15,8,23,9.601226994,9.423312883,5,2.811495932,0.59,兴安落叶松人工林,兴安落叶松,兴安落叶松,10,58,上,有伐桩，有放牧痕迹，较干燥
XXALYF090814066,49.987,125.64,405,16,20,8,28,15,43,6.352061856,5.577319588,16,1.465720687,0.09,白桦次生天然林,白桦,白桦,10,58,上,有伐桩，蒙古栎更新苗较多
XXALYF090815051,49.246215,125.982478,343,9,13,33,46,22,68,12.11046512,13.62790698,9,2.179809603,0.24,兴安落叶松人工林,兴安落叶松,兴安落叶松,2,270,中,
XXALYF090815052,49.241503,125.922602,321,9,14,13,27,19,46,13.29,14.14,9,2.723380809,0.3,兴安落叶松人工林,兴安落叶松,兴安落叶松,4,0,中,
XXALYF090815068,49.767238,125.545668,358,13,15,13,28,22,50,6.100478469,5.937799043,13,2.482458804,0.19,白桦林,白桦,白桦,4,320,中下,
XXALYF090816055,49.487457,126.302907,358,13,26,0,26,20,46,8.883561644,8.328767123,13,2.411635906,0.19,白桦人工林,白桦,白桦、兴安落叶松,3,0,中,
XXALYF090816072,49.2019,125.56669,377,8,15,9,24,21,45,7.50310559,8.440993789,8,2.482008936,0.32,兴安落叶松人工林,兴安落叶松,兴安落叶松,4,45,中,林内有光缆埋藏
XXALYF090817057,49.47738,126.773933,536,12,12,11,23,19,42,10.25252525,11.78787879,12,3.736597021,0.31,红松林,红松,红松,8,0,中上,有择伐
XXALYF090817058,49.538208,126.784547,433,10,10,24,34,18,52,15.74698795,15.01176471,10,2.849177511,0.28,兴安落叶松人工林,兴安落叶松,兴安落叶松,3,270,下,有择伐
XXALYF090817059,49.538208,126.784547,433,15,30,10,40,10,50,9.56,11.69333333,15,2.740109529,0.18,白桦林,白桦,白桦,3,260,中,间伐
XXALYF090817074,49.55618,126.641723,498,3,5,12,17,14,31,6.50617284,7.438271605,3,2.968369938,0.89,桦木林,白桦,白桦、黑桦,20,308,中上,土层薄，下有实质
XXALYF090817075,49.554483,126.637178,466,12,7,6,13,9,22,7.663265306,9.464646465,12,2.910425391,0.25,毛赤杨林,白桦,毛赤杨,3,东北,,
XXALYF090817077,49.539965,126.598987,501,4,11,20,31,24,55,12.47014925,12.62686567,4,4.308094366,1.12,兴安落叶松人工林,兴安落叶松,兴安落叶松,2,47,中下,地表可见较多石块
XXALYF090818079,49.631133,126.804108,432,4,9,39,48,17,65,8.408450704,7.825174825,4,1.922869887,0.49,白桦林,白桦,白桦,5,238,中,水湿
XXALYF090818080,49.634583,126.8085,420,3,5,26,31,11,42,12.95942029,13.15714286,3,2.009712826,0.69,兴安落叶松人工林,兴安落叶松,兴安落叶松,10,51,上,有间伐
XXALYF090818101,49.674782,126.971887,354,13,14,10,24,41,65,14.76388889,15.90277778,13,4.172998273,0.33,兴安落叶松人工林,兴安落叶松,兴安落叶松,4,280,中,
XXALYF090818103,49.743129,127.124013,386,6,10,10,20,30,50,6.5,9.796052632,6,6.414659415,1.14,白桦林,白桦,白桦,3,220,中,
XXALYF090819083,50.222872,126.896685,478,5,8,0,8,15,23,7.427173914,8.293478261,5,1.63560045,0.36,白桦天然次生林,白桦,白桦,5,270,中下,
XXALYF090819086,50.229885,126.951245,397,2,5,10,15,16,31,5.912790698,8.802325581,2,2.596729342,1.33,黑桦蒙古栎林,白桦,黑桦,2,210,中下,黑土层较薄、贫腐
XXALYF090819087,50.229885,126.951245,397,3,7,10,17,25,42,8.726495727,11.22033898,3,4.690774863,1.51,山杨天然次生林,白桦,山杨,10,228,上,
XXALYF090819088,50.189678,127.08343,356,3,7,6,13,18,31,10.796875,12.0859375,3,3.605408994,1.3,兴安落叶松人工林,兴安落叶松,兴安落叶松,8,135,上,样地极湿，但无地表水
XXALYF090819107,50.311103,126.68708,483,4,5,35,40,25,65,10.89090909,12.98181818,4,4.865632079,1.2,次生白桦林,白桦,桦树、蒙古栎,5,245,中,
XXALYF090819108,50.306637,126.694192,529,3,5,16,21,32,53,9.279069767,14.26436782,3,5.379459015,2.04,白桦黑桦林,白桦,白桦、黑桦,7,240,中,
XXALYF090822090,50.922102,127.073433,305,2,4,0,4,7,11,8.733695652,11.04347826,2,5.680618948,2.49,小叶章——白桦,白桦,白桦,2,296,中,
XXALYF090822091,50.863418,127.156917,156,3,6,13,19,27,46,6.868702288,8.641221374,3,2.797710402,0.84,蒙古栎、黑桦林,白桦,黑桦,18,79,中,
XXALYF090822092,50.794508,127.177133,138,7,8,8,16,26,42,9.057142855,12.03896104,7,3.496967194,0.49,蒙古栎山杨林,白桦,山杨,15,110,4,
XXALYF090823095,50.622368,127.28622,272,17,20,25,45,15,60,8.022,9.77,17,2.817509365,0.16,白桦林,白桦,白桦,2,130,下,
XXALYF090823098,50.31757,127.309612,238,13,15,0,15,5,20,9.381578947,8.763157895,13,2.366360227,0.18,白桦林,白桦,白桦,3,70,中下,
XXALYF090825111,49.225537,127.565208,338,2,4,2,6,29,35,9.346456693,9.181102362,2,2.748077518,1.29,黑桦蒙古栎林,白桦,黑桦,7,355,上,
XXALYF090825112,49.228027,127.566808,336,9,15,20,35,8,43,12.60416667,12.69444444,9,3.404647594,0.38,白桦林,白桦,白桦,6,204,中,
XXALYF090826113,49.451922,128.129442,135,6,10,30,40,20,60,18.41948052,17.63636364,6,4.351490119,0.78,桦木林,白桦,白桦、黑桦,3,350,中下,距场部较近，毗邻农田，土层深厚，未见地下水
XXALYF110728103,48.149907,130.649353,127,2,5,17,22,7,29,13.07407407,16.19444445,2,5.664537972,2.28,羊胡苔草东北山梅花红松人工林,红松,红松,12,17,中,有清林，红松林伴生种更新良好并进入主林层
XXALYF110729004,46.225317,127.859512,160,4,11,0,11,27,38,8.187499962,9.254107118,4,1.470766007,0.35,黑桦山杨树林,白桦,黑桦、山杨,8.5,东北,,择伐，坟地。
XXALYF110729006,46.21353,127.86045,148,4,8,26,34,23,57,7.941509445,10.16792457,4,1.806728751,0.43,山杨水曲柳林,白桦,山杨 水曲柳,30,125,中,择伐  火烧　　人工干扰严重
XXALYF110729007,46.208268,127.860837,166,2,6,10,16,35,51,13.97636362,13.27818183,2,2.496514402,1.08,白桦 山杨林,白桦,白桦,5,283,中,择伐 人工干扰中
XXALYF110730010,46.244243,128.279105,213,4,10,0,10,30,40,11.44050634,11.45962025,4,2.947836234,0.68,白桦水曲柳林,白桦,白桦、水曲柳,2,7,中,
XXALYF110731013,46.215642,128.33158,128,6,15,0,15,21,36,10.87500001,14.17500002,6,2.719628785,0.47,水曲柳白桦林,白桦,水曲柳 白桦,1,2,中,
XXALYF110731016,46.178745,128.352905,144,8,18,0,18,20,38,11.45208331,12.34375001,8,1.837413923,0.22,白桦榆树林,白桦,白桦、榆树,3.181812763,102.9946137,,
XXALYF110731115,48.053002,130.299893,377,5,9,0,9,23,32,13.93857143,19.26857139,5,8.712658344,1.61,猴腿蹄盖蕨红松冷杉林,红松,红松,8,388,中,有伐桩 灌木层不发达 草本层发达
XXALYF110731117,48.0534,130.300785,372,4,7,11,18,15,33,13.83157895,16.94736845,4,5.656974073,1.49,毛缘苔草珍珠梅水冬瓜林,白桦,山杨,5,350,下,无明显人为干扰。红松更新较好，灌草层不发达。
XXALYF110731118,48.043695,130.30559,432,8,14,15,29,15,44,17.8181818,27.91818189,8,11.54227963,1.47,水金凤山梅花臭冷杉红松林,红松,红松,13,209,中,紧邻旅游点 有一些施工废弃物
XXALYF110731119,48.044545,130.308962,443,8,11,21,32,10,42,18.5387097,31.84516133,8,10.66882382,1.31,羊胡子苔草毛榛枫华红松林,红松,红松,8,220,中上,邻近旅游点，灌木有清林
XXALYF110731119,48.044545,130.308962,443,8,11,21,32,10,42,18.5387097,31.84516133,8,10.66882382,1.31,羊胡子苔草毛榛枫华红松林,红松,红松,8,220,中上,邻近旅游点，灌木有清林
XXALYF110731120,48.041335,130.32167,469,19,17,0,17,18,35,12.65555555,14.15873017,19,3.720416124,0.2,羊胡子苔草毛榛枫桦林,白桦,枫桦,3,185,中下,有早年伐桩
XXALYF110801019,46.48516,128.481647,233,5,12,0,12,28,40,13.33953492,14.79302329,5,2.505363009,0.5,白桦 春榆,白桦,白桦,6.762860775,198.4349518,,无
XXALYF110801021,46.474635,128.477445,204,10,10,10,20,25,45,12.9063158,11.95263157,10,1.48004326,0.15,白桦林,白桦,白桦,1.687604904,171.8699036,,无
XXALYF110801121,48.114838,130.150617,227,4,10,50,60,0,60,10.12121212,14.53787874,4,4.25277657,1.01,凸脉苔草平榛白桦林,白桦,白桦,8.11127949,254.7448883,,地势平坦，无明显人为干扰，天然落叶松已进入主林层，但较少。
XXALYF110801122,48.09436,130.15716,224,15,25,14,39,16,55,7.478333322,11.39000007,15,2.105767564,0.14,黑桦次生林,白桦,黑桦,12,292,下,林下有人工种植红皮云杉幼苗
XXALYF110801124,47.828362,129.965657,216,13,14,17,31,17,48,8.958227852,10.46875,13,3.129512107,0.24,乌苏里羊胡子辽东楤木杂木林,白桦,白桦、黑桦、黄檗,9,25,上,林下造林活动。
XXALYF110802024,46.44425,128.45181,181,20,22,0,22,18,40,10.12361113,11.38472221,20,2.653685039,0.13,红皮云杉 白桦林,白桦,白桦、云杉,1.721006155,33.69006729,,无
XXALYF110802128,47.707032,130.00154,230,13,15,7,22,8,30,10.19152538,14.43050842,13,4.253674811,0.33,修氏苔草大叶樟平榛白桦蒙古栎林,白桦,白桦、蒙古栎,7.5,222,中下,有火烧痕迹，有清林和林下人工更新落叶松
XXALYF110802129,47.683302,130.065788,215,4,7,0,7,17,24,8.362025288,9.914465423,4,2.030229133,0.55,兴安落叶松人工林,兴安落叶松,兴安落叶松,2,210,下,水湿地改造落叶松人工林
XXALYF110802130,47.68096,130.128747,186,5,6,0,6,10,16,7.687096765,8.656451587,5,1.637007852,0.34,三棱苔草胡枝子白桦林,白桦,白桦,5,164,中,百花幼林 应有取上
XXALYF110803025,46.708783,128.775067,405,2,5,0,5,22,26,9.662500024,10.22812499,2,3.863666421,2.1,白桦山杨林,白桦,白桦、山杨,2,103,下,择伐。
XXALYF110803026,46.207812,128.7744,162,6,17,0,17,20,37,11.16153846,9.162820501,6,1.778081065,0.31,水曲柳 白桦林,白桦,水曲柳 白桦,3.708616734,45,,清林
XXALYF110803029,46.201548,128.776935,160,6,11,20,31,17,48,11.40444447,13.48666668,6,2.233049377,0.35,白桦 水曲柳林,白桦,白桦、水曲柳,4.315448761,96.3401947,,无
